title,genre,tags,platforms,description,metacritic,released
Brothers: A Tale of Two Sons,adventure,"Singleplayer, Steam Achievements, Multiplayer, Full controller support, Atmospheric, Great Soundtrack, Story Rich, 2D, Third Person, Fantasy, Survival, Local Co-Op, Controller, controller support, Short, Colorful, Turn-Based Strategy, Walking Simulator, Top-Down, 3D Vision, Linear, Stylized, Drama, Hand-drawn, Turn-Based Tactics, Lore-Rich, Puzzle Platformer, Grid-Based Movement, Faith, solitaire, Foreign, Sokoban","PC, PlayStation 4, Xbox One, Nintendo Switch, iOS, Android, Xbox 360, PlayStation 3",brothers-a-tale-of-two-sons-2,90.0,2013-08-07
Watch Dogs,adventure,"Singleplayer, Multiplayer, Atmospheric, RPG, Co-op, Open World, cooperative, Third Person, Partial Controller Support, FPS, Sandbox, Stealth, Third-Person Shooter, Futuristic, Parkour, Driving, Hacking, first person mod","PC, Xbox One, PlayStation 4, Xbox 360, PlayStation 3, Wii U",watch-dogs,77.0,2014-05-27
Shadow of the Tomb Raider,adventure,"Singleplayer, Steam Achievements, Full controller support, Steam Cloud, Atmospheric, steam-trading-cards, Great Soundtrack, Story Rich, Open World, Third Person, Gore, Exploration, Female Protagonist, Survival, Violent, Stealth, Action-Adventure, Dark, Lara Croft","PC, Xbox One, PlayStation 4, macOS, Linux",shadow-of-the-tomb-raider,78.0,2018-09-14
Heavy Rain,adventure,"Singleplayer, Steam Achievements, Full controller support, Steam Cloud, Atmospheric, Story Rich, Third Person, Comedy, Violent, Nudity, Mystery, Choices Matter, Cinematic, Memes, Sexual Content, Multiple Endings, Detective, Drama, Narration, Emotional, Interactive Fiction, Investigation, Dynamic Narration","PC, PlayStation 4, PlayStation 3",heavy-rain,80.0,2010-02-17
INSIDE,adventure,"Singleplayer, Steam Achievements, Full controller support, Steam Cloud, Atmospheric, Great Soundtrack, Story Rich, Sci-fi, Horror, Stealth, Dark, controller support, Mystery, Short, Dystopian, achievements, Puzzle-Platformer, 2.5D, european, Tek Oyunculu","PC, Xbox One, PlayStation 4, Nintendo Switch, iOS, macOS",inside,87.0,2016-06-28
Saints Row IV,adventure,"Singleplayer, Multiplayer, Full controller support, Steam Cloud, Great Soundtrack, Co-op, Open World, cooperative, Third Person, Sci-fi, Online Co-Op, Funny, Sandbox, Female Protagonist, Comedy, Third-Person Shooter, Character Customization, Aliens, Dark Humor, Superhero, first person mod, Parody","PC, Xbox One, PlayStation 4, Linux, Xbox 360, PlayStation 3",saints-row-iv,86.0,2013-08-20
Firewatch,adventure,"Atmospheric, Great Soundtrack, Story Rich, Horror, Exploration, Mystery, Short, Colorful, Mature, Walking Simulator, Visual Novel, Drama, Interactive Fiction, Thriller, interactive movie, interactive game","PC, Xbox One, PlayStation 4, Nintendo Switch, macOS, Linux",firewatch,81.0,2016-02-08
No Man's Sky,adventure,"Singleplayer, Steam Achievements, Multiplayer, Full controller support, Steam Cloud, Atmospheric, Great Soundtrack, Open World, First-Person, Sci-fi, Horror, FPS, Exploration, Sandbox, Survival, Space, controller support, Mystery, Crafting, overlay, online, achievements, Procedural Generation, Illuminati, console, Epic, nature, offline, Science, cloud saves, fight, weapons, Space Sim, journey, ship, planets, galaxy, light, sun, sky","PC, PlayStation 5, Xbox One, PlayStation 4, Nintendo Switch",no-mans-sky,75.0,2016-08-09
Alien: Isolation,adventure,"Singleplayer, Steam Achievements, Full controller support, Steam Cloud, Atmospheric, Great Soundtrack, First-Person, Sci-fi, Horror, FPS, Gore, Difficult, Female Protagonist, Survival, Stealth, Space, Survival Horror, Aliens, vr mod","PC, Xbox One, PlayStation 4, Nintendo Switch, iOS, Android",alien-isolation,81.0,2014-10-05
Disco Elysium,adventure,"Singleplayer, RPG, Story Rich, role-playing, Isometric","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch, macOS",disco-elysium,91.0,2019-10-14
Halo Infinite,adventure,"Singleplayer, Multiplayer, Full controller support, Atmospheric, Great Soundtrack, Co-op, Story Rich, Open World, cooperative, First-Person, Sci-fi, FPS, Online Co-Op, Classic, Sandbox, Free to Play, Action-Adventure, PvP, Space, combat, Futuristic, Aliens, Sexual Content, Online PvP, battle, Lore-Rich, Epic, Beautiful, weapons, hero, balance, Endless, arena, tv, map, hd, Gaming","PC, Xbox One, Xbox Series S/X",halo-infinite,84.0,2021-12-08
Layers of Fear,adventure,"Singleplayer, Steam Achievements, Full controller support, Steam Cloud, Atmospheric, steam-trading-cards, Great Soundtrack, Story Rich, First-Person, Partial Controller Support, Horror, Exploration, Dark, Point & Click, Survival Horror, Mystery, Short, Mature, Walking Simulator, Multiple Endings, Surreal, Emotional, Interactive Fiction, Supernatural, Lovecraftian, Psychedelic, Narrative, immersive","PC, Xbox One, PlayStation 4, iOS, macOS, Linux",layers-of-fear,72.0,2016-02-16
The Wolf Among Us,adventure,"Singleplayer, Full controller support, Atmospheric, Great Soundtrack, Story Rich, Fantasy, Dark, Point & Click, Nudity, controller support, Mystery, Mature, Cinematic, Detective, Cartoony, Episodic, Comic Book, Choose Your Own Adventure, Quick-Time Events, Noir","PC, PlayStation 4, Xbox One, iOS, Android, macOS, Xbox 360, PS Vita",the-wolf-among-us,82.0,2013-10-10
Ori and the Blind Forest: Definitive Edition,adventure,"Singleplayer, Steam Achievements, Full controller support, Steam Cloud, Atmospheric, Great Soundtrack, RPG, Story Rich, Open World, 2D, Fantasy, Difficult, Controller, stats, Family Friendly, Cute, Side Scroller, Metroidvania, 2.5D","PC, Xbox One, Nintendo Switch, Xbox 360",ori-and-the-blind-forest-definitive-edition,88.0,2016-04-27
The Stanley Parable,adventure,"Singleplayer, Full controller support, Atmospheric, Story Rich, First-Person, Funny, Exploration, Comedy, Captions available, Short, Choices Matter, Walking Simulator, Multiple Endings, Surreal, Narration, Psychological, Satire, Dynamic Narration","PC, macOS, Linux",the-stanley-parable,88.0,2013-10-17
Black Desert Online,adventure,"Multiplayer, RPG, Co-op, Open World, Fantasy, Female Protagonist, Online multiplayer, PvP, Anime, In-App Purchases, mmo, MMORPG","PC, Xbox One, PlayStation 4",black-desert-online,73.0,2014-12-01
Amnesia: A Machine for Pigs,adventure,"Singleplayer, Full controller support, Steam Cloud, Atmospheric, Great Soundtrack, Story Rich, First-Person, Horror, Gore, Survival, Stealth, Dark, Survival Horror, controller support, Captions available, Short, Walking Simulator, Linear, Steampunk","PC, macOS, Linux",amnesia-a-machine-for-pigs,72.0,2013-09-09
Ori and the Blind Forest,adventure,"Singleplayer, Steam Achievements, Full controller support, Steam Cloud, Atmospheric, steam-trading-cards, Great Soundtrack, RPG, Story Rich, Open World, 2D, Fantasy, Difficult, Exploration, stats, Family Friendly, Cute, Side Scroller, Metroidvania, 2.5D","PC, Xbox One, Xbox 360",ori-and-the-blind-forest,88.0,2015-03-10
SOMA,adventure,"Singleplayer, Steam Achievements, Full controller support, Steam Cloud, Atmospheric, steam-trading-cards, Great Soundtrack, Story Rich, First-Person, Sci-fi, Horror, Gore, Survival, Stealth, Steam Workshop, Moddable, Survival Horror, Walking Simulator, Robots, Underwater","PC, Xbox One, PlayStation 4, macOS, Linux",soma,84.0,2015-09-21
Kingdom Come: Deliverance,adventure,"Singleplayer, Steam Achievements, Full controller support, Atmospheric, Great Soundtrack, RPG, Story Rich, Open World, First-Person, Choices Matter, Realistic, Historical, Medieval, Kickstarter, Choose Your Own Adventure, CRPG, Swordplay, Crowdfunded, Horses, Einzelspieler, Steam-Errungenschaften","PC, Xbox One, PlayStation 4",kingdom-come-deliverance,71.0,2018-02-13
This War of Mine,adventure,"Singleplayer, Steam Achievements, Full controller support, Steam Cloud, Atmospheric, steam-trading-cards, Open World, 2D, Difficult, Survival, Stealth, Steam Workshop, Point & Click, War, Post-apocalyptic, Choices Matter, Crafting, Side Scroller, Roguelike, 2.5D","PC, Nintendo Switch, iOS, Android, macOS, Linux, PS Vita",this-war-of-mine,83.0,2014-11-14
Thief,adventure,"Singleplayer, Steam Achievements, Full controller support, Steam Cloud, Atmospheric, steam-trading-cards, RPG, Open World, First-Person, Horror, FPS, Fantasy, Steam Leaderboards, Stealth, Dark, Nudity, Medieval, Parkour, 3D Vision, Steampunk, Assassin, Heist","PC, Xbox One, PlayStation 4, macOS, Xbox 360, PlayStation 3",thief,70.0,2014-02-25
Watch Dogs 2,adventure,"Singleplayer, Multiplayer, Atmospheric, Co-op, Open World, cooperative, Third Person, Partial Controller Support, Gore, Comedy, Stealth, Third-Person Shooter, Cute, Mature, Parkour, Sexual Content, Crime, Illuminati, Hacking, first person mod","PC, Xbox One, PlayStation 4",watch_dogs-2,79.0,2016-11-28
The Last of Us Part II,adventure,"Singleplayer, Atmospheric, Survival, Violent, Stealth, Action-Adventure, exclusive, 3rd-Person Perspective, Blood, America, LGBTQ+, Role Playing Game","PlayStation 5, PlayStation 4",the-last-of-us-part-2,93.0,2020-06-19
Lara Croft and the Temple of Osiris,adventure,"Singleplayer, Steam Achievements, Multiplayer, Full controller support, RPG, Co-op, cooperative, Third Person, Online Co-Op, Steam Leaderboards, Female Protagonist, Split Screen, Local Co-Op, Hack and Slash, Isometric, Top-Down, 4 Player Local, Twin Stick Shooter, 4 giocatori divano, Lara Croft","PC, Xbox One, PlayStation 4",lara-croft-and-the-temple-of-osiris,73.0,2014-12-08
The Last Of Us,adventure,exclusive,"PlayStation 4, PlayStation 3",the-last-of-us,95.0,2013-06-14
Subnautica,adventure,"Singleplayer, Multiplayer, Full controller support, Atmospheric, Open World, First-Person, Sci-fi, Horror, FPS, Exploration, Sandbox, Survival, Early Access, Crafting, Aliens, VR, online, Base Building, console, offline, Underwater, explore, Voxel, collect, alien, water, sea, food, sun, crash, health","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch, macOS",subnautica,83.0,2018-01-23
South Park: The Stick of Truth,adventure,"Singleplayer, Steam Achievements, Full controller support, RPG, Story Rich, Open World, 2D, Fantasy, Funny, Comedy, Zombies, role-playing, Nudity, Turn-Based, Short, Mature, Turn-Based Strategy, JRPG, Dark Humor, Cartoon, Satire","PC, Xbox One, PlayStation 4, Nintendo Switch, Xbox 360, PlayStation 3",south-park-the-stick-of-truth,84.0,2014-03-04
FEZ,adventure,"Singleplayer, Steam Achievements, Full controller support, Steam Cloud, Atmospheric, Great Soundtrack, 2D, Exploration, Steam Leaderboards, Pixel Graphics, Controller, Retro, controller support, Cute, Mystery, 3D, Metroidvania, overlay, Relaxing, Puzzle-Platformer, 2.5D","PC, PlayStation 4, Nintendo Switch, iOS, macOS, Linux, Xbox 360, PlayStation 3, PS Vita",fez,91.0,2012-04-13
A Plague Tale: Innocence,adventure,"Singleplayer, Full controller support, Third Person, Horror, Female Protagonist, Violent, Stealth, Action-Adventure, Linear, plague","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch",a-plague-tale-innocence,82.0,2019-05-13
Halo: The Master Chief Collection,adventure,"Singleplayer, Multiplayer, Atmospheric, Great Soundtrack, Co-op, Story Rich, cooperative, First-Person, Sci-fi, Horror, FPS, Online Co-Op, Classic, Online multiplayer, Space, Aliens, Lore-Rich, Epic, Masterpiece, Beautiful","PC, Xbox One",halo-the-master-chief-collection,85.0,2014-11-11
Syberia,adventure,"Singleplayer, Atmospheric, steam-trading-cards, Great Soundtrack, Story Rich, Third Person, Classic, Female Protagonist, Space, Point & Click, Mystery, Steampunk, puzzles, city, secrets, island, interactive, hell, factory, evolution, moon","PC, Nintendo Switch, iOS, Android, Nintendo DS, macOS, Xbox 360, PlayStation 3",syberia,82.0,2002-01-09
DmC: Devil May Cry,adventure,"Singleplayer, Steam Achievements, Full controller support, Steam Cloud, Atmospheric, steam-trading-cards, Great Soundtrack, Story Rich, Third Person, Fantasy, Gore, Steam Leaderboards, Comedy, Controller, Anime, Hack and Slash, Fast-Paced, Beat 'em up, Stylized, Demons, Epic, Character Action Game, Spectacle fighter, sword","PC, Xbox One, PlayStation 4, Xbox 360, PlayStation 3",dmc,85.0,2013-01-15
Sleeping Dogs: Definitive Edition,adventure,"Singleplayer, Multiplayer, Full controller support, Atmospheric, Great Soundtrack, Co-op, Story Rich, Open World, cooperative, Third Person, Gore, Sandbox, Third-Person Shooter, Mature, Parkour, Crime, Remake, Martial Arts","PC, Xbox One, PlayStation 4, macOS",sleeping-dogs-definitive-edition,76.0,2014-10-08
Beyond: Two Souls,adventure,"Singleplayer, Steam Achievements, Multiplayer, Full controller support, Steam Cloud, Atmospheric, Great Soundtrack, Co-op, Story Rich, cooperative, Third Person, Sci-fi, Horror, Female Protagonist, Violent, Split Screen, Choices Matter, Cinematic, Drama, Narration, Emotional, Quick-Time Events, Beautiful, Remote Play Together, Thriller, Shared/Split Screen Co-op, Dynamic Narration, Remote Play on Tablet, Remote Play on Phone","PC, PlayStation 4, PlayStation 3",beyond-two-souls,73.0,2013-10-07
Mafia III,adventure,"Singleplayer, Steam Achievements, Multiplayer, Full controller support, Steam Cloud, Atmospheric, steam-trading-cards, Great Soundtrack, Story Rich, Open World, Third Person, FPS, Gore, Classic, Sandbox, Violent, Stealth, Third-Person Shooter, Nudity, Mature, Crime","PC, Xbox One, PlayStation 4, macOS",mafia-iii,62.0,2016-10-06
What Remains of Edith Finch,adventure,"Singleplayer, Steam Achievements, Full controller support, Steam Cloud, Atmospheric, steam-trading-cards, Great Soundtrack, Story Rich, First-Person, Horror, FPS, Exploration, Female Protagonist, Mystery, Short, Walking Simulator, Visual Novel","PC, Xbox One, PlayStation 4, Nintendo Switch, iOS",what-remains-of-edith-finch,89.0,2017-04-23
Grim Fandango Remastered,adventure,"Singleplayer, Full controller support, Atmospheric, steam-trading-cards, Great Soundtrack, Story Rich, Open World, Third Person, Funny, Classic, Comedy, Retro, Point & Click, 3D, Remake, 1990's, Dark Humor, Commentary available, Cult Classic, Noir","PC, Xbox One, PlayStation 4, Nintendo Switch, iOS, Android, macOS, Linux, PS Vita",grim-fandango-remastered,84.0,2015-01-26
The Witness,adventure,"Singleplayer, Steam Achievements, Steam Cloud, Atmospheric, Great Soundtrack, Story Rich, Open World, First-Person, Partial Controller Support, Difficult, Exploration, Sandbox, Survival, Captions available, Mystery, Colorful, Building, Walking Simulator, overlay, Relaxing, Surreal, cloud saves, Nonlinear, Philisophical","PC, Xbox One, PlayStation 4, iOS, Android, macOS",the-witness,87.0,2016-01-25
Ori and the Will of the Wisps,adventure,"Singleplayer, Steam Achievements, Full controller support, Steam Cloud, Atmospheric, Great Soundtrack, Story Rich, Open World, Fantasy, Difficult, Exploration, Action-Adventure, Cute, Metroidvania, Puzzle-Platformer, Emotional, Masterpiece, Beautiful, Souls-like","PC, Xbox One, Xbox Series S/X, Nintendo Switch",ori-and-the-will-of-the-wisps,91.0,2020-03-10
The Outer Worlds,adventure,"Singleplayer, Full controller support, RPG, Story Rich, Open World, First-Person, Sci-fi, FPS, Action RPG, Space, role-playing, Choices Matter","PC, Xbox One, PlayStation 4, Nintendo Switch",the-outer-worlds,80.0,2019-10-25
The Forest,adventure,"Singleplayer, Multiplayer, Steam Cloud, Atmospheric, Co-op, Open World, First-Person, Horror, FPS, Gore, Exploration, Sandbox, Survival, Early Access, Zombies, Survival Horror, Crafting, Realistic, Building","PC, PlayStation 4",the-forest,,2018-04-30
POSTAL 2,adventure,"Singleplayer, Steam Achievements, Multiplayer, Full controller support, Steam Cloud, steam-trading-cards, Open World, First-Person, FPS, Funny, Gore, Classic, Sandbox, Comedy, Violent, Steam Workshop, Includes level editor, Moddable, exclusive, Family Friendly, Mature, true exclusive, Dark Humor, Satire","PC, macOS, Linux",postal-2,59.0,2003-04-13
The Walking Dead: Season 2,adventure,"Singleplayer, Full controller support, Atmospheric, Story Rich, Horror, Gore, Female Protagonist, Survival, Zombies, Point & Click, Post-apocalyptic, Choices Matter, Mature, Cinematic, Drama, Episodic, Comic Book, Choose Your Own Adventure, Quick-Time Events","PC, PlayStation 4, Xbox One, Nintendo Switch, iOS, Android, macOS, Xbox 360, PlayStation 3, PS Vita",the-walking-dead-season-2,80.0,2013-12-16
Syberia 2,adventure,"Singleplayer, Atmospheric, Great Soundtrack, Story Rich, Classic, Female Protagonist, Point & Click, Mystery, Story, Steampunk, puzzles, Movie, factory, Dreams","PC, Nintendo Switch, iOS, Android, macOS, Xbox 360, Xbox, PlayStation 3, PlayStation 2",syberia-2,80.0,2004-03-30
The Legend of Zelda: Breath of the Wild,adventure,"RPG, Open World, Sandbox, Action-Adventure, exclusive","Nintendo Switch, Wii U",the-legend-of-zelda-breath-of-the-wild,97.0,2017-03-03
A Story About My Uncle,adventure,"Singleplayer, Steam Achievements, Full controller support, Steam Cloud, Atmospheric, steam-trading-cards, Great Soundtrack, Story Rich, Open World, First-Person, Sci-fi, Horror, Fantasy, Difficult, Family Friendly, controller support, Short, Parkour, 3D Platformer, Narration","PC, macOS, Linux",a-story-about-my-uncle,73.0,2014-05-27
Borderlands 3,adventure,"Singleplayer, Steam Achievements, Multiplayer, Full controller support, Steam Cloud, Atmospheric, Great Soundtrack, RPG, Co-op, Open World, cooperative, First-Person, FPS, Online Co-Op, Gore, Exploration, Violent, Split Screen, Local Co-Op, Action-Adventure, Local Multiplayer, Cross-Platform Multiplayer, Space, role-playing, Nudity, Steam Trading Cards, Driving, online, Loot, friends, console, Epic, Masterpiece, offline, Western, Co-op Campaign, skill, looter shooter, Solo, planets, guns, LAN Co-op, Team, trees, wasteland","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch",borderlands-3,83.0,2019-09-13
